hola,buenos,dias,tardes,noches,buenas,cuentame,dime,tipo,peso,altura,nombre,numero,pokemon,contra,counters,fuerte,debil,malo,bueno,1,bulbasaur
bienvenida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
bienvenida,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
bienvenida,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
bienvenida,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
bienvenida,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,
chiste,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,
chiste,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,
estado,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,,,,
estado,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,,,,
estado,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,
estado,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
repeticion,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,
repeticion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,
repeticion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
terminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
